id,class,folder,signer,fps,video_length,n_frames,fframe_shape,lframe_shape,word_boundaries
96,c011,c011_7,1,29.390154298310065,2.722,80,"(360, 640, 3)","(64, 64, 3)",58
97,c011,c011_8,1,29.36689549961861,2.622,77,"(360, 640, 3)","(64, 64, 3)",52
98,c011,c011_9,1,29.390154298310065,2.722,80,"(360, 640, 3)","(64, 64, 3)",56
99,c012,c012_1,1,29.688087185268692,5.322,158,"(360, 640, 3)","(64, 64, 3)","43,88,143"
100,c012,c012_2,1,29.67590784849668,5.122000000000001,152,"(360, 640, 3)","(64, 64, 3)","45,87,139"
101,c012,c012_3,1,29.69383991147179,5.4220000000000015,161,"(360, 640, 3)","(64, 64, 3)","44,90,149"
102,c012,c012_4,1,29.68211413251628,5.222,155,"(360, 640, 3)","(64, 64, 3)","41,83,141"
103,c012,c012_5,1,29.67590784849668,5.122000000000001,152,"(360, 640, 3)","(64, 64, 3)","43,87,142"
104,c012,c012_6,1,29.709891646277523,5.722,170,"(360, 640, 3)","(64, 64, 3)","48,89,157"
105,c012,c012_7,1,29.699384281057586,5.522,164,"(360, 640, 3)","(64, 64, 3)","50,92,151"
106,c012,c012_8,1,29.699384281057586,5.522,164,"(360, 640, 3)","(64, 64, 3)","46,89,150"
107,c012,c012_9,1,29.70473141230879,5.622000000000001,167,"(360, 640, 3)","(64, 64, 3)","48,90,153"
108,c013,c013_1,1,29.390154298310065,2.722,80,"(360, 640, 3)","(64, 64, 3)","34,67"
109,c013,c013_2,1,29.450694904037064,3.022,89,"(360, 640, 3)","(64, 64, 3)","42,75"
110,c013,c013_3,1,29.450694904037064,3.022,89,"(360, 640, 3)","(64, 64, 3)","42,76"
111,c013,c013_4,1,29.43189596167009,2.922,86,"(360, 640, 3)","(64, 64, 3)","41,75"
112,c013,c013_5,1,29.390154298310065,2.722,80,"(360, 640, 3)","(64, 64, 3)","36,65"
113,c013,c013_6,1,29.46828955797566,3.122,92,"(360, 640, 3)","(64, 64, 3)","40,79"
114,c013,c013_7,1,29.43189596167009,2.922,86,"(360, 640, 3)","(64, 64, 3)","37,73"
115,c013,c013_8,1,29.450694904037064,3.022,89,"(360, 640, 3)","(64, 64, 3)","37,74"
116,c013,c013_9,1,29.450694904037064,3.022,89,"(360, 640, 3)","(64, 64, 3)","44,76"
117,c014,c014_1,1,29.58727001491795,4.022,119,"(360, 640, 3)","(64, 64, 3)","45,104"
118,c014,c014_2,1,29.57674655787863,3.922,116,"(360, 640, 3)","(64, 64, 3)","50,105"
119,c014,c014_3,1,29.58727001491795,4.022,119,"(360, 640, 3)","(64, 64, 3)","48,105"
120,c014,c014_4,1,29.58727001491795,4.022,119,"(360, 640, 3)","(64, 64, 3)","50,107"
121,c014,c014_5,1,29.57674655787863,3.922,116,"(360, 640, 3)","(64, 64, 3)","49,103"
122,c014,c014_6,1,29.56567242281528,3.822,113,"(360, 640, 3)","(64, 64, 3)","45,101"
123,c014,c014_7,1,29.60682141165325,4.222,125,"(360, 640, 3)","(64, 64, 3)","45,112"
124,c014,c014_8,1,29.59728287239205,4.122,122,"(360, 640, 3)","(64, 64, 3)","47,109"
125,c014,c014_9,1,29.61591855622397,4.322,128,"(360, 640, 3)","(64, 64, 3)","55,117"
126,c015,c015_1,1,29.554003224073075,3.722,110,"(360, 640, 3)","(64, 64, 3)","51,97"
127,c015,c015_2,1,29.58727001491795,4.022,119,"(360, 640, 3)","(64, 64, 3)","53,103"
128,c015,c015_3,1,29.56567242281528,3.822,113,"(360, 640, 3)","(64, 64, 3)","50,99"
129,c015,c015_4,1,29.58727001491795,4.022,119,"(360, 640, 3)","(64, 64, 3)","54,102"
130,c015,c015_5,1,29.57674655787863,3.922,116,"(360, 640, 3)","(64, 64, 3)","54,99"
131,c015,c015_6,1,29.57674655787863,3.922,116,"(360, 640, 3)","(64, 64, 3)","51,100"
132,c015,c015_7,1,29.58727001491795,4.022,119,"(360, 640, 3)","(64, 64, 3)","51,103"
133,c015,c015_8,1,29.57674655787863,3.922,116,"(360, 640, 3)","(64, 64, 3)","52,97"
134,c016,c016_1,1,29.807130333138513,3.422,102,"(360, 640, 3)","(64, 64, 3)","45,86"
135,c016,c016_2,1,29.82267598065556,3.722,111,"(360, 640, 3)","(64, 64, 3)","53,95"
136,c016,c016_3,1,29.81778023191607,3.622,108,"(360, 640, 3)","(64, 64, 3)","54,96"
137,c016,c016_4,1,29.81260647359456,3.522,105,"(360, 640, 3)","(64, 64, 3)","47,90"
138,c016,c016_5,1,29.831718510963803,3.922,117,"(360, 640, 3)","(64, 64, 3)","53,101"
139,c016,c016_6,1,29.84729291994447,4.322,129,"(360, 640, 3)","(64, 64, 3)","56,111"
140,c016,c016_7,1,29.831718510963803,3.922,117,"(360, 640, 3)","(64, 64, 3)","52,102"
141,c016,c016_8,1,29.835902536051712,4.022,120,"(360, 640, 3)","(64, 64, 3)","52,104"
142,c016,c016_9,1,29.831718510963803,3.922,117,"(360, 640, 3)","(64, 64, 3)","49,102"
143,c017,c017_1,1,29.528676888131752,3.522,104,"(360, 640, 3)","(64, 64, 3)","47,89"
144,c017,c017_2,1,29.554003224073075,3.722,110,"(360, 640, 3)","(64, 64, 3)","54,95"
145,c017,c017_3,1,29.554003224073075,3.722,110,"(360, 640, 3)","(64, 64, 3)","55,92"
146,c017,c017_4,1,29.57674655787863,3.922,116,"(360, 640, 3)","(64, 64, 3)","52,100"
147,c017,c017_5,1,29.58727001491795,4.022,119,"(360, 640, 3)","(64, 64, 3)","53,102"
148,c017,c017_6,1,29.56567242281528,3.822,113,"(360, 640, 3)","(64, 64, 3)","55,99"
149,c017,c017_7,1,29.57674655787863,3.922,116,"(360, 640, 3)","(64, 64, 3)","52,101"
150,c017,c017_8,1,29.57674655787863,3.922,116,"(360, 640, 3)","(64, 64, 3)","49,97"
151,c017,c017_9,1,29.57674655787863,3.922,116,"(360, 640, 3)","(64, 64, 3)","54,101"
152,c018,c018_1,1,29.85404688191066,4.522,135,"(360, 640, 3)","(64, 64, 3)","52,91,118"
153,c018,c018_2,1,29.839883551673946,4.122,123,"(360, 640, 3)","(64, 64, 3)","44,83,107"
154,c018,c018_3,1,29.835902536051712,4.022,120,"(360, 640, 3)","(64, 64, 3)","47,85,106"
155,c018,c018_4,1,29.85074626865672,4.422,132,"(360, 640, 3)","(64, 64, 3)","46,97,120"
156,c018,c018_5,1,29.839883551673946,4.122,123,"(360, 640, 3)","(64, 64, 3)","48,85,107"
157,c018,c018_6,1,29.84729291994447,4.322,129,"(360, 640, 3)","(64, 64, 3)","47,87,112"
158,c018,c018_7,1,29.831718510963803,3.922,117,"(360, 640, 3)","(64, 64, 3)","42,79,102"
159,c018,c018_8,1,29.84367598294647,4.222,126,"(360, 640, 3)","(64, 64, 3)","49,90,110"
160,c018,c018_9,1,29.835902536051712,4.022,120,"(360, 640, 3)","(64, 64, 3)","45,84,107"
161,c019,c019_1,1,29.67590784849668,5.122000000000001,152,"(360, 640, 3)","(64, 64, 3)","50,96,133"
162,c019,c019_2,1,29.71968929415738,5.9220000000000015,176,"(360, 640, 3)","(64, 64, 3)","56,116,159"
163,c019,c019_3,1,29.699384281057586,5.522,164,"(360, 640, 3)","(64, 64, 3)","45,107,144"
164,c019,c019_4,1,29.728846782097353,6.122000000000001,182,"(360, 640, 3)","(64, 64, 3)","59,118,161"
165,c019,c019_5,1,29.71968929415738,5.9220000000000015,176,"(360, 640, 3)","(64, 64, 3)","51,108,158"
166,c019,c019_6,1,29.73320475731276,6.222,185,"(360, 640, 3)","(64, 64, 3)","58,121,166"
167,c019,c019_7,1,29.728846782097353,6.122000000000001,182,"(360, 640, 3)","(64, 64, 3)","56,111,162"
168,c019,c019_8,1,29.71968929415738,5.9220000000000015,176,"(360, 640, 3)","(64, 64, 3)","55,114,159"
169,c019,c019_9,1,29.709891646277523,5.722,170,"(360, 640, 3)","(64, 64, 3)","49,108,149"
170,c020,c020_1,1,29.46828955797566,3.122,92,"(360, 640, 3)","(64, 64, 3)","42,78"
171,c020,c020_2,1,29.528676888131752,3.522,104,"(360, 640, 3)","(64, 64, 3)","53,88"
172,c020,c020_3,1,29.51490356516657,3.422,101,"(360, 640, 3)","(64, 64, 3)","51,84"
173,c020,c020_4,1,29.554003224073075,3.722,110,"(360, 640, 3)","(64, 64, 3)","56,96"
174,c020,c020_5,1,29.56567242281528,3.822,113,"(360, 640, 3)","(64, 64, 3)","52,93"
175,c020,c020_6,1,29.56567242281528,3.822,113,"(360, 640, 3)","(64, 64, 3)","54,95"
176,c020,c020_7,1,29.541689674213142,3.622,107,"(360, 640, 3)","(64, 64, 3)","48,90"
177,c020,c020_8,1,29.554003224073075,3.722,110,"(360, 640, 3)","(64, 64, 3)","57,94"
178,c020,c020_9,1,29.56567242281528,3.822,113,"(360, 640, 3)","(64, 64, 3)","56,95"
179,c021,c021_1,1,29.888551165146907,5.9220000000000015,177,"(360, 640, 3)","(64, 64, 3)","52,102,159"
180,c021,c021_2,1,29.893924783027963,6.222,186,"(360, 640, 3)","(64, 64, 3)","73,120,168"
181,c021,c021_3,1,29.89040185984723,6.022,180,"(360, 640, 3)","(64, 64, 3)","60,101,163"
182,c021,c021_4,1,29.884655714785037,5.722,171,"(360, 640, 3)","(64, 64, 3)","57,103,155"
183,c021,c021_5,1,29.71968929415738,5.9220000000000015,176,"(360, 640, 3)","(64, 64, 3)","54,100,156"
184,c021,c021_6,1,29.71487461353487,5.822,173,"(360, 640, 3)","(64, 64, 3)","59,102,155"
185,c021,c021_7,1,29.709891646277523,5.722,170,"(360, 640, 3)","(64, 64, 3)","54,97,153"
186,c021,c021_8,1,29.709891646277523,5.722,170,"(360, 640, 3)","(64, 64, 3)","50,95,149"
187,c021,c021_9,1,29.73320475731276,6.222,185,"(360, 640, 3)","(64, 64, 3)","63,109,165"
188,c022,c022_1,1,29.541689674213142,3.622,107,"(360, 640, 3)","(64, 64, 3)","54,90"
189,c022,c022_2,1,29.57674655787863,3.922,116,"(360, 640, 3)","(64, 64, 3)","65,101"
190,c022,c022_3,1,29.541689674213142,3.622,107,"(360, 640, 3)","(64, 64, 3)","57,91"
191,c022,c022_4,1,29.554003224073075,3.722,110,"(360, 640, 3)","(64, 64, 3)","56,90"
192,c022,c022_5,1,29.59728287239205,4.122,122,"(360, 640, 3)","(64, 64, 3)","68,106"
193,c022,c022_6,1,29.59728287239205,4.122,122,"(360, 640, 3)","(64, 64, 3)","66,105"
194,c022,c022_7,1,29.61591855622397,4.322,128,"(360, 640, 3)","(64, 64, 3)","70,113"
195,c022,c022_8,1,29.58727001491795,4.022,119,"(360, 640, 3)","(64, 64, 3)","61,103"
196,c022,c022_9,1,29.56567242281528,3.822,113,"(360, 640, 3)","(64, 64, 3)","53,96"
197,c001,c001_11,2,29.89560265738691,6.322,189,"(360, 640, 3)","(64, 64, 3)","54,96,170"
198,c001,c001_12,2,29.89560265738691,6.322,189,"(360, 640, 3)","(64, 64, 3)","54,97,171"
199,c001,c001_13,2,29.93552348787227,6.5139999999999985,195,"(360, 640, 3)","(64, 64, 3)","50,99,176"
200,c001,c001_14,2,30.010718113612004,6.5310000000000015,196,"(360, 640, 3)","(64, 64, 3)","52,101,175"
201,c001,c001_15,2,29.90181493603094,6.722,201,"(360, 640, 3)","(64, 64, 3)","53,104,183"
202,c001,c001_16,2,30.010718113612004,6.5310000000000015,196,"(360, 640, 3)","(64, 64, 3)","54,100,176"
203,c001,c001_17,2,30.010884776862074,6.431,193,"(360, 640, 3)","(64, 64, 3)","51,99,173"
204,c001,c001_18,2,29.737424865548878,6.322,188,"(360, 640, 3)","(64, 64, 3)","49,94,167"
205,c001,c001_19,2,29.908972691807538,6.921,207,"(360, 640, 3)","(64, 64, 3)","53,102,188"
206,c002,c002_11,2,29.807130333138513,3.422,102,"(360, 640, 3)","(64, 64, 3)","35,78"
207,c002,c002_12,2,29.82267598065556,3.722,111,"(360, 640, 3)","(64, 64, 3)","37,84"
208,c002,c002_13,2,29.81260647359456,3.522,105,"(360, 640, 3)","(64, 64, 3)","35,78"
209,c002,c002_14,2,29.554003224073075,3.722,110,"(360, 640, 3)","(64, 64, 3)","36,83"
210,c002,c002_15,2,29.554003224073075,3.722,110,"(360, 640, 3)","(64, 64, 3)","39,87"
211,c002,c002_16,2,29.541689674213142,3.622,107,"(360, 640, 3)","(64, 64, 3)","35,78"
212,c002,c002_17,2,29.554003224073075,3.722,110,"(360, 640, 3)","(64, 64, 3)","43,86"
213,c002,c002_18,2,29.82267598065556,3.722,111,"(360, 640, 3)","(64, 64, 3)","36,82"
214,c002,c002_19,2,29.82267598065556,3.722,111,"(360, 640, 3)","(64, 64, 3)","38,88"
215,c003,c003_11,2,29.7951582867784,3.222,96,"(360, 640, 3)","(64, 64, 3)","39,79"
216,c003,c003_12,2,29.82267598065556,3.722,111,"(360, 640, 3)","(64, 64, 3)","49,92"
217,c003,c003_13,2,29.56567242281528,3.822,113,"(360, 640, 3)","(64, 64, 3)","50,96"
218,c003,c003_14,2,29.56567242281528,3.822,113,"(360, 640, 3)","(64, 64, 3)","48,95"
219,c003,c003_15,2,29.58727001491795,4.022,119,"(360, 640, 3)","(64, 64, 3)","56,100"
220,c003,c003_16,2,29.56567242281528,3.822,113,"(360, 640, 3)","(64, 64, 3)","49,95"
221,c003,c003_17,2,29.827315541601248,3.822,114,"(360, 640, 3)","(64, 64, 3)","52,96"
222,c003,c003_18,2,29.835902536051712,4.022,120,"(360, 640, 3)","(64, 64, 3)","53,101"
223,c003,c003_19,2,29.827315541601248,3.822,114,"(360, 640, 3)","(64, 64, 3)","48,92"
224,c004,c004_11,2,29.285099052540907,2.322,68,"(360, 640, 3)","(64, 64, 3)",50
225,c004,c004_12,2,29.36689549961861,2.622,77,"(360, 640, 3)","(64, 64, 3)",53
226,c004,c004_13,2,29.31461601981833,2.422,71,"(360, 640, 3)","(64, 64, 3)",50
227,c004,c004_14,2,29.390154298310065,2.722,80,"(360, 640, 3)","(64, 64, 3)",56
228,c004,c004_15,2,29.390154298310065,2.722,80,"(360, 640, 3)","(64, 64, 3)",58
229,c004,c004_16,2,29.74828375286041,2.622,78,"(360, 640, 3)","(64, 64, 3)",55
230,c004,c004_17,2,29.738302934179224,2.522,75,"(360, 640, 3)","(64, 64, 3)",52
231,c004,c004_18,2,29.738302934179224,2.522,75,"(360, 640, 3)","(64, 64, 3)",52
232,c004,c004_19,2,29.74828375286041,2.622,78,"(360, 640, 3)","(64, 64, 3)",55
233,c005,c005_11,2,29.85074626865672,4.422,132,"(360, 640, 3)","(64, 64, 3)","32,77,112"
234,c005,c005_12,2,29.860228716645487,4.722,141,"(360, 640, 3)","(64, 64, 3)","34,75,110"
235,c005,c005_13,2,29.86590816741162,4.922,147,"(360, 640, 3)","(64, 64, 3)","34,83,123"
236,c005,c005_14,2,29.648454044896226,4.722,140,"(360, 640, 3)","(64, 64, 3)","31,75,116"
237,c005,c005_15,2,29.640848117697967,4.622,137,"(360, 640, 3)","(64, 64, 3)","32,78,120"
238,c005,c005_16,2,29.648454044896226,4.722,140,"(360, 640, 3)","(64, 64, 3)","35,78,115"
239,c005,c005_17,2,29.655744504355038,4.822,143,"(360, 640, 3)","(64, 64, 3)","39,85,118"
240,c005,c005_18,2,29.863127333056827,4.822,144,"(360, 640, 3)","(64, 64, 3)","34,85,119"
241,c005,c005_19,2,29.857204673301602,4.622,138,"(360, 640, 3)","(64, 64, 3)","31,74,111"
242,c006,c006_11,2,24.752475247524753,2.424,60,"(360, 640, 3)","(64, 64, 3)","26,57"
243,c006,c006_12,2,24.771341463414632,2.624,65,"(360, 640, 3)","(64, 64, 3)","26,55"
244,c006,c006_13,2,24.787535410764875,2.824,70,"(360, 640, 3)","(64, 64, 3)","33,65"
245,c006,c006_14,2,24.771341463414632,2.624,65,"(360, 640, 3)","(64, 64, 3)","28,58"
246,c006,c006_15,2,24.771341463414632,2.624,65,"(360, 640, 3)","(64, 64, 3)","28,60"
247,c006,c006_16,2,24.787535410764875,2.824,70,"(360, 640, 3)","(64, 64, 3)","28,56"
248,c006,c006_17,2,24.787535410764875,2.824,70,"(360, 640, 3)","(64, 64, 3)","27,56"
249,c006,c006_18,2,24.787535410764875,2.824,70,"(360, 640, 3)","(64, 64, 3)","26,55"
250,c006,c006_19,2,24.787535410764875,2.824,70,"(360, 640, 3)","(64, 64, 3)","30,60"
251,c007,c007_11,2,30.00241954996371,4.133,124,"(360, 640, 3)","(64, 64, 3)","31,104"
252,c007,c007_12,2,30.00241954996371,4.133,124,"(360, 640, 3)","(64, 64, 3)","37,105"
253,c007,c007_13,2,30.002479543763947,4.033,121,"(360, 640, 3)","(64, 64, 3)","34,100"
254,c007,c007_14,2,30.002542588354945,3.933,118,"(360, 640, 3)","(64, 64, 3)","34,99"
255,c007,c007_15,2,30.002479543763947,4.033,121,"(360, 640, 3)","(64, 64, 3)","31,101"
256,c007,c007_16,2,30.00236239073943,4.2330000000000005,127,"(360, 640, 3)","(64, 64, 3)","32,106"
257,c007,c007_17,2,29.839883551673946,4.122,123,"(360, 640, 3)","(64, 64, 3)","33,102"
258,c007,c007_18,2,29.9028158484924,4.013,120,"(360, 640, 3)","(64, 64, 3)","32,102"
259,c007,c007_19,2,29.839883551673946,4.122,123,"(360, 640, 3)","(64, 64, 3)","33,102"
260,c008,c008_11,2,29.858173675043545,4.019,120,"(360, 640, 3)","(64, 64, 3)","33,105"
261,c008,c008_12,2,29.83512169589112,3.821,114,"(360, 640, 3)","(64, 64, 3)","33,102"
262,c008,c008_13,2,30.010172939979647,3.932,118,"(360, 640, 3)","(64, 64, 3)","34,103"
263,c008,c008_14,2,29.81778023191607,3.622,108,"(360, 640, 3)","(64, 64, 3)","33,95"
264,c008,c008_15,2,29.827315541601248,3.822,114,"(360, 640, 3)","(64, 64, 3)","33,99"
